ID	Accession	Type	Description
isrL	RF01395	Gene; sRNA;	isrL Hfq binding RNA
IsrM	RF02763	Gene; sRNA;	IsrM sRNA
isrN	RF01396	Gene; sRNA;	isrN Hfq binding RNA
isrO	RF01397	Gene; sRNA;	isrO Hfq binding RNA
isrP	RF01398	Gene; sRNA;	isrP Hfq binding RNA
isrQ	RF01399	Gene; sRNA;	isrQ Hfq binding RNA
IsrR	RF01419	Gene; antisense;	Antisense RNA which regulates isiA expression
istR	RF01400	Gene; antitoxin;	istR Hfq binding RNA
ivy-DE	RF02999	Cis-reg;	ivy-DE RNA
JA01	RF02729	Gene; sRNA;	Aggregatibacter sRNA JA01
JA02	RF02730	Gene; sRNA;	Aggregatibacter sRNA JA02
JA03	RF02731	Gene; sRNA;	Aggregatibacter sRNA JA03
JA04	RF02732	Gene; sRNA;	Aggregatibacter sRNA JA04
JPX_1	RF02124	Gene; lncRNA;	JPX transcript, XIST activator conserved region 1
JPX_2	RF02125	Gene; lncRNA;	JPX transcript, XIST activator conserved region 2
JUMPstart	RF01707	Cis-reg;	JUMPstart RNA
K10_TLS	RF00207	Cis-reg;	K10 transport/localisation element (TLS)
KatA_thermometer	RF02774	Cis-reg; thermoregulator;	KatA 5' UTR thermometer
KCNQ1OT1_1	RF01946	Gene; lncRNA;	KCNQ1 overlapping transcript 1 conserved region 1
KCNQ1OT1_2	RF01947	Gene; lncRNA;	KCNQ1 overlapping transcript 1 conserved region 2
KCNQ1OT1_3	RF01948	Gene; lncRNA;	KCNQ1 overlapping transcript 1 conserved region 3
KCNQ1OT1_5	RF01950	Gene; lncRNA;	KCNQ1 overlapping transcript 1 conserved region 5
KDPG-aldolase	RF03115	Gene; sRNA;	KDPG-aldolase RNA
KRAS_3UTR	RF02584	Cis-reg;	KRAS 3' UTR cis-regulatory element
K_chan_RES	RF00485	Cis-reg;	Potassium channel RNA editing signal
L10_leader	RF00557	Cis-reg; leader;	Ribosomal protein L10 leader
L13-Bacteroidia	RF03127	Cis-reg; leader;	L13-Bacteroidia ribosomal protein leader
L13_leader	RF00555	Cis-reg; leader;	Ribosomal protein L13 leader
L17-Actino-Proteobacteria	RF03132	Cis-reg; leader;	L17-Actino-Proteobacteria ribosomal protein leader
L17DE	RF01708	Cis-reg;	L17 ribosomal protein downstream element
L19-Flavobacteria	RF03130	Cis-reg; leader;	L19-Flavobacteria ribosomal protein leader
L19_leader	RF00556	Cis-reg; leader;	Ribosomal protein L19 leader
L2-Alphaproteobacteria	RF03142	Cis-reg; leader;	L2-Alphaproteobacteria ribosomal protein leader
L20-Deltaproteobacteria	RF03126	Cis-reg; leader;	L20-Deltaproteobacteria ribosomal protein leader
L20_leader	RF00558	Cis-reg; leader;	Ribosomal protein L20 leader
L21_leader	RF00559	Cis-reg; leader;	Ribosomal protein L21 leader
L25-Gammaproteobacteria	RF03131	Cis-reg; leader;	L25-Gammaproteobacteria ribosomal protein leader
L31-Actinobacteria	RF03158	Cis-reg; leader;	L31-Actinobacteria ribosomal protein leader
L31-Coriobacteria	RF03128	Cis-reg; leader;	L31-Coriobacteria ribosomal protein leader
L31-Corynebacteriaceae	RF03129	Cis-reg; leader;	L31-Corynebacteriaceae ribosomal protein leader
L31-Firmicutes	RF03156	Cis-reg; leader;	L31-Firmicutes ribosomal protein leader
L31-Gammaproteobacteria	RF03157	Cis-reg; leader;	L31-Gammaproteobacteria ribosomal protein leader
L4-Archaeoglobi	RF03135	Cis-reg; leader;	L4-Archaeoglobi ribosomal protein leades
lactis-plasmid	RF01742	Gene; sRNA;	lactis-plasmid RNA
Lacto-phage-1	RF03004	Gene; sRNA;	Lacto-phage-1 RNA
Lacto-rpoB	RF01709	Cis-reg;	Lacto-rpoB RNA
Lacto-usp	RF01710	Gene; sRNA;	Lacto-usp RNA
LAGLIDADG-2	RF03094	Gene; sRNA;	LAGLIDADG-2 RNA
Lambda_thermo	RF01804	Cis-reg; thermoregulator;	Lambda phage CIII thermoregulator element
LasI_thermometer	RF02759	Cis-reg; thermoregulator;	LasI 5' UTR ROSE like thermometer
LcrF_thermometer	RF02704	Cis-reg; thermoregulator;	LcrF intergenic thermometer
LDH1_5p_UTR	RF02697	Cis-reg;	LDH1 5'UTR
let-7	RF00027	Gene; miRNA;	let-7 microRNA precursor
leu-phe_leader	RF01743	Cis-reg; leader;	leu/phe leader RNA from Lactococcus
leuA-Halobacteria	RF03001	Cis-reg;	leuA-Halobacteria RNA
Leu_leader	RF00512	Cis-reg; leader;	Leucine operon leader
LhrA	RF00615	Gene; sRNA;	Listeria Hfq binding LhrA
LhrC	RF00616	Gene; sRNA;	Listeria LhrC
Lig_thermometer	RF02815	Cis-reg; thermoregulator;	Lig 5' UTR thermometer
lin-4	RF00052	Gene; miRNA;	lin-4 microRNA precursor
LINC00901	RF01884	Gene; lncRNA;	Non-coding RNA BC040587
lincRNA-p21_1	RF01889	Gene; lncRNA;	LincRNA-p21 conserved region 1
lincRNA-p21_2	RF01890	Gene; lncRNA;	LincRNA-p21 conserved region 2
livK	RF01744	Cis-reg;	livK RNA
LLnc147	RF02573	Gene; sRNA;	Lactococcus lactis non-coding RNA 147
Lnt	RF01711	Cis-reg;	Lnt RNA
LOOT	RF03000	Gene; sRNA;	LOOT RNA
LPR10	RF02824	Gene; sRNA;	Legionella RNA 10
LPR17	RF02825	Gene; sRNA;	Legionella RNA 17
LPR69	RF02823	Gene; sRNA;	Legionella RNA 69
Lst_thermometer	RF02810	Cis-reg; thermoregulator;	Lst 5' UTR thermometer
LSU_rRNA_archaea	RF02540	Gene; rRNA;	Archaeal large subunit ribosomal RNA
LSU_rRNA_bacteria	RF02541	Gene; rRNA;	Bacterial large subunit ribosomal RNA
LSU_rRNA_eukarya	RF02543	Gene; rRNA;	Eukaryotic large subunit ribosomal RNA
LSU_trypano_mito	RF02546	Gene; rRNA;	Trypanosomatid mitochondrial large subunit ribosomal RNA
lsy-6	RF00823	Gene; miRNA;	lsy-6 microRNA precursor family
Lysine	RF00168	Cis-reg; riboswitch;	Lysine riboswitch
lysM-Actino	RF03090	Cis-reg;	lysM-Actino RNA
lysM-Prevotella	RF03002	Cis-reg;	lysM-Prevotella RNA
lysM-TM7	RF03005	Cis-reg;	lysM-TM7 RNA
M-box	RF00380	Cis-reg; riboswitch;	M-box riboswitch (ykoK leader)
M23	RF03006	Gene; sRNA;	M23 RNA
Mahella-1	RF03007	Gene; sRNA;	Mahella-1 RNA
MALAT1	RF01871	Gene; lncRNA;	Metastasis associated lung adenocarcinoma transcript 1
malK-I	RF03069	Cis-reg;	malK-I RNA
malK-II	RF03008	Cis-reg;	malK-II RNA
malK-III	RF03009	Cis-reg;	malK-III RNA
manA	RF01745	Cis-reg;	manA RNA
ManX_thermometer	RF02781	Cis-reg; thermoregulator;	ManX 5' UTR thermometer
mascRNA-menRNA	RF01684	Gene;	MALAT1-associated small cytoplasmic RNA/MEN beta RNA
MAT2A_A	RF02260	Cis-reg;	MAT2A 3'UTR stem loop A
MAT2A_B	RF02261	Cis-reg;	MAT2A 3'UTR stem loop B
MAT2A_C	RF02262	Cis-reg;	MAT2A 3'UTR stem loop C
MAT2A_D	RF02263	Cis-reg;	MAT2A 3'UTR stem loop D
MAT2A_E	RF02264	Cis-reg;	MAT2A 3'UTR stem loop E
MAT2A_F	RF02265	Cis-reg;	MAT2A 3'UTR stem loop F
McaS	RF00115	Gene; sRNA;	McaS/IsrA RNA
Mcr7	RF02571	Gene; sRNA;	mcr7 sRNA
mcrA	RF03010	Gene; sRNA;	mcrA RNA
MCS4	RF02713	Gene; sRNA;	Mycoplasma sRNA MCS4
MDR-NUDIX	RF02918	Cis-reg;	MDR-NUDIX RNA
MEG3_2	RF01872	Gene; lncRNA;	Maternally expressed 3 conserved region 2
MEG8_1	RF02145	Gene; lncRNA;	Maternally expressed 8 exon 1
MEG8_2	RF02146	Gene; lncRNA;	Maternally expressed 8 exon 2
MEG8_3	RF02147	Gene; lncRNA;	Maternally expressed 8 exon 3
MESTIT1_1	RF02148	Gene; lncRNA;	MEST intronic transcript 1, antisense RNA conserved region 1
MESTIT1_2	RF02149	Gene; lncRNA;	MEST intronic transcript 1, antisense RNA conserved region 2
MESTIT1_3	RF02150	Gene; lncRNA;	MEST intronic transcript 1, antisense RNA conserved region 3
Metazoa_SRP	RF00017	Gene;	Metazoan signal recognition particle RNA
Methylobacterium-1	RF01712	Gene; sRNA;	Methylobacterium-1 RNA
Methylophilales-1	RF03011	Gene; sRNA;	Methylophilales-1 RNA
Methylosinus-1	RF03108	Gene; sRNA;	Methylosinus-1 RNA
MFR	RF01510	Cis-reg; riboswitch;	M. florum riboswitch
mgtC_leader	RF02887	Cis-reg; leader;	Salmonella mgtC leader RNA
Mg_sensor	RF01056	Cis-reg; riboswitch;	Magnesium Sensor
MH_s10	RF02879	Gene; sRNA;	Mesorhizobail RNA 10
MH_s15	RF02880	Gene; sRNA;	Mesorhizobail RNA 15
MH_s25	RF02881	Gene; sRNA;	Mesorhizobail RNA 25
MH_s36	RF02882	Gene; sRNA;	Mesorhizobail RNA 36
MH_s7	RF02878	Gene; sRNA;	Mesorhizobail RNA 7
MIAT_exon1	RF01874	Gene; lncRNA;	Myocardial infarction associated transcript exon 1
MIAT_exon5_1	RF01875	Gene; lncRNA;	Myocardial infarction associated transcript exon 5 conserved region 1
MIAT_exon5_2	RF01876	Gene; lncRNA;	Myocardial infarction associated transcript exon 5 conserved region 2
MIAT_exon5_3	RF01877	Gene; lncRNA;	Myocardial infarction associated transcript exon 5 conserved region 3
MicA	RF00078	Gene; sRNA;	MicA sRNA
MicC	RF00121	Gene; sRNA;	MicC RNA
MicF	RF00033	Gene; antisense;	MicF RNA
MicL	RF02654	Gene; sRNA;	MicL sRNA
Mico1	RF01928	Gene; lncRNA;	Maternal intergenic circadian oscillating RNA 1
MicX	RF01808	Gene; sRNA;	MicX Vibrio cholerae sRNA
MIMT1_1	RF02151	Gene; lncRNA;	MER1 repeat containing imprinted transcript 1 conserved region 1
mini-ykkC	RF01068	Cis-reg;	Guanidine-II riboswitch
mir-1	RF00103	Gene; miRNA;	mir-1 microRNA precursor family
mir-10	RF00104	Gene; miRNA;	mir-10 microRNA precursor family
mir-1000	RF03299	Gene; miRNA;	mir-1000 microRNA precursor family
mir-1001	RF03675	Gene; miRNA;	mir-1001 microRNA precursor family
mir-1002	RF03851	Gene; miRNA;	mir-1002 microRNA precursor family
mir-1003	RF03830	Gene; miRNA;	mir-1003 microRNA precursor family
mir-1005	RF03427	Gene; miRNA;	mir-1005 microRNA precursor family
mir-1006	RF03321	Gene; miRNA;	mir-1006 microRNA precursor family
mir-101	RF00253	Gene; miRNA;	mir-101 microRNA precursor family
mir-1010	RF03283	Gene; miRNA;	mir-1010 microRNA precursor family
mir-1011	RF03925	Gene; miRNA;	mir-1011 microRNA precursor family
mir-1012	RF03171	Gene; miRNA;	mir-1012 microRNA precursor family
mir-1013	RF03724	Gene; miRNA;	mir-1013 microRNA precursor family
mir-1017	RF02517	Gene; miRNA;	mir-1017 microRNA precursor family
mir-103	RF00129	Gene; miRNA;	mir-103/107 microRNA precursor
mir-105	RF00670	Gene; miRNA;	mir-105 microRNA precursor family
mir-11	RF00813	Gene; miRNA;	mir-11 microRNA precursor family
mir-1175	RF03189	Gene; miRNA;	mir-1175 microRNA precursor family
mir-1178	RF02014	Gene; miRNA;	mir-1178 microRNA precursor family
mir-1179	RF03469	Gene; miRNA;	mir-1179 microRNA precursor family
mir-1180	RF02024	Gene; miRNA;	microRNA mir-1180
mir-1181	RF03262	Gene; miRNA;	mir-1181 microRNA precursor family
mir-1182	RF03179	Gene; miRNA;	mir-1182 microRNA precursor family
mir-1183	RF02016	Gene; miRNA;	microRNA mir-1183
mir-1184	RF03466	Gene; miRNA;	mir-1184 microRNA precursor family
mir-1188	RF03856	Gene; miRNA;	mir-1188 microRNA precursor family
mir-1193	RF03279	Gene; miRNA;	mir-1193 microRNA precursor family
mir-1199	RF04074	Gene; miRNA;	mir-1199 microRNA precursor family
mir-12	RF00751	Gene; miRNA;	microRNA mir-12
mir-1200	RF03420	Gene; miRNA;	mir-1200 microRNA precursor family
mir-1202	RF03587	Gene; miRNA;	mir-1202 microRNA precursor family
mir-1203	RF03809	Gene; miRNA;	mir-1203 microRNA precursor family
mir-1204	RF04122	Gene; miRNA;	mir-1204 microRNA precursor family
mir-1205	RF03289	Gene; miRNA;	mir-1205 microRNA precursor family
mir-1206	RF03236	Gene; miRNA;	mir-1206 microRNA precursor family
mir-1207	RF02018	Gene; miRNA;	microRNA mir-1207
mir-1208	RF02023	Gene; miRNA;	microRNA mir-1208
mir-122	RF00684	Gene; miRNA;	mir-122 microRNA precursor
mir-1224	RF00942	Gene; miRNA;	microRNA mir-1224
mir-1225	RF00946	Gene; miRNA;	microRNA mir-1225
mir-1226	RF00945	Gene; miRNA;	mir-1226 microRNA precursor family
mir-1227	RF01314	Gene; miRNA;	microRNA mir-1227
mir-1228	RF03924	Gene; miRNA;	mir-1228 microRNA precursor family
mir-1233	RF03620	Gene; miRNA;	mir-1233 microRNA precursor family
mir-1234	RF03397	Gene; miRNA;	mir-1234 microRNA precursor family
mir-1236	RF03365	Gene; miRNA;	mir-1236 microRNA precursor family
mir-1237	RF02007	Gene; miRNA;	mir-1237 microRNA precursor family
mir-1238	RF03274	Gene; miRNA;	mir-1238 microRNA precursor family
mir-124	RF00239	Gene; miRNA;	mir-124 microRNA precursor family
mir-1245	RF04077	Gene; miRNA;	mir-1245 microRNA precursor family
mir-1246	RF03434	Gene; miRNA;	mir-1246 microRNA precursor family
mir-1247	RF03271	Gene; miRNA;	mir-1247 microRNA precursor family
mir-1249	RF01918	Gene; miRNA;	microRNA mir-1249
mir-125	RF03770	Gene; miRNA;	mir-125 microRNA precursor family
mir-1251	RF01938	Gene; miRNA;	microRNA mir-1251
mir-1252	RF03623	Gene; miRNA;	mir-1252 microRNA precursor family
mir-1253	RF02006	Gene; miRNA;	microRNA mir-1253
mir-1255	RF00994	Gene; miRNA;	mir-1255 microRNA precursor family
mir-1256	RF04066	Gene; miRNA;	mir-1256 microRNA precursor family
mir-1257	RF03829	Gene; miRNA;	mir-1257 microRNA precursor family
mir-1258	RF03863	Gene; miRNA;	mir-1258 microRNA precursor family
mir-126	RF00701	Gene; miRNA;	microRNA mir-126
mir-1261	RF04055	Gene; miRNA;	mir-1261 microRNA precursor family
mir-1262	RF03500	Gene; miRNA;	mir-1262 microRNA precursor family
mir-1263	RF03316	Gene; miRNA;	mir-1263 microRNA precursor family
mir-1264	RF03528	Gene; miRNA;	mir-1264 microRNA precursor family
mir-1265	RF02019	Gene; miRNA;	microRNA mir-1265
mir-1266	RF03327	Gene; miRNA;	mir-1266 microRNA precursor family
mir-1267	RF03454	Gene; miRNA;	mir-1267 microRNA precursor family
mir-1269	RF03978	Gene; miRNA;	mir-1269 microRNA precursor family
mir-127	RF00676	Gene; miRNA;	microRNA mir-127
mir-1270	RF03967	Gene; miRNA;	mir-1270 microRNA precursor family
mir-1271	RF04085	Gene; miRNA;	mir-1271 microRNA precursor family
mir-1272	RF03194	Gene; miRNA;	mir-1272 microRNA precursor family
mir-1275	RF02022	Gene; miRNA;	microRNA mir-1275
mir-1276	RF03453	Gene; miRNA;	mir-1276 microRNA precursor family
mir-1277	RF04154	Gene; miRNA;	mir-1277 microRNA precursor family
mir-1278	RF03705	Gene; miRNA;	mir-1278 microRNA precursor family
mir-128	RF00649	Gene; miRNA;	microRNA mir-128
mir-1281	RF03493	Gene; miRNA;	mir-1281 microRNA precursor family
mir-1282	RF03565	Gene; miRNA;	mir-1282 microRNA precursor family
mir-1284	RF03480	Gene; miRNA;	mir-1284 microRNA precursor family
mir-1286	RF03256	Gene; miRNA;	mir-1286 microRNA precursor family
mir-1287	RF02015	Gene; miRNA;	microRNA mir-1287
mir-1288	RF03324	Gene; miRNA;	mir-1288 microRNA precursor family
mir-1289	RF04121	Gene; miRNA;	mir-1289 microRNA precursor family
mir-129	RF00486	Gene; miRNA;	mir-129 microRNA precursor family
mir-1290	RF03650	Gene; miRNA;	mir-1290 microRNA precursor family
mir-1292	RF03425	Gene; miRNA;	mir-1292 microRNA precursor family
mir-1294	RF03426	Gene; miRNA;	mir-1294 microRNA precursor family
mir-1295	RF03681	Gene; miRNA;	mir-1295 microRNA precursor family
mir-1296	RF01921	Gene; miRNA;	microRNA mir-1296
mir-1297	RF03229	Gene; miRNA;	mir-1297 microRNA precursor family
mir-1298	RF03404	Gene; miRNA;	mir-1298 microRNA precursor family
mir-1299	RF04142	Gene; miRNA;	mir-1299 microRNA precursor family
mir-130	RF00258	Gene; miRNA;	mir-130 microRNA precursor family
mir-1301	RF03292	Gene; miRNA;	mir-1301 microRNA precursor family
mir-1302	RF00951	Gene; miRNA;	microRNA mir-1302
mir-1303	RF04106	Gene; miRNA;	mir-1303 microRNA precursor family
mir-1304	RF03677	Gene; miRNA;	mir-1304 microRNA precursor family
mir-1305	RF04109	Gene; miRNA;	mir-1305 microRNA precursor family
mir-1306	RF01014	Gene; miRNA;	microRNA mir-1306
mir-1307	RF01038	Gene; miRNA;	microRNA mir-1307
mir-132	RF00662	Gene; miRNA;	microRNA mir-132
mir-1322	RF03336	Gene; miRNA;	mir-1322 microRNA precursor family
mir-1323	RF03401	Gene; miRNA;	mir-1323 microRNA precursor family
mir-1324	RF03247	Gene; miRNA;	mir-1324 microRNA precursor family
mir-1329	RF03768	Gene; miRNA;	mir-1329 microRNA precursor family
mir-133	RF00446	Gene; miRNA;	mir-133 microRNA precursor family
mir-134	RF00699	Gene; miRNA;	microRNA mir-134
mir-1343	RF03525	Gene; miRNA;	mir-1343 microRNA precursor family
mir-135	RF00246	Gene; miRNA;	mir-135 microRNA precursor family
mir-136	RF00687	Gene; miRNA;	microRNA mir-136
mir-137	RF00694	Gene; miRNA;	microRNA mir-137
mir-138	RF00671	Gene; miRNA;	microRNA mir-138
mir-1388	RF01945	Gene; miRNA;	microRNA mir-1388
mir-139	RF00703	Gene; miRNA;	microRNA mir-139
mir-1397	RF03242	Gene; miRNA;	mir-1397 microRNA precursor family
mir-14	RF00752	Gene; miRNA;	microRNA mir-14
mir-140	RF00678	Gene; miRNA;	microRNA mir-140
mir-1419	RF01919	Gene; miRNA;	microRNA mir-1419
mir-142	RF01896	Gene; miRNA;	microRNA mir-142
mir-1420	RF04061	Gene; miRNA;	mir-1420 microRNA precursor family
mir-1421	RF04234	Gene; miRNA;	mir-1421 microRNA precursor family
mir-1422	RF04027	Gene; miRNA;	mir-1422 microRNA precursor family
mir-1426	RF03490	Gene; miRNA;	mir-1426 microRNA precursor family
mir-143	RF00683	Gene; miRNA;	microRNA mir-143
mir-144	RF00682	Gene; miRNA;	microRNA mir-144
mir-145	RF00675	Gene; miRNA;	microRNA mir-145
mir-1451	RF03710	Gene; miRNA;	mir-1451 microRNA precursor family
mir-146	RF00691	Gene; miRNA;	microRNA mir-146
mir-1460	RF03265	Gene; miRNA;	mir-1460 microRNA precursor family
mir-1467	RF03342	Gene; miRNA;	mir-1467 microRNA precursor family
mir-1468	RF03313	Gene; miRNA;	mir-1468 microRNA precursor family
mir-147	RF00693	Gene; miRNA;	mir-147 microRNA precursor family
mir-1471	RF03228	Gene; miRNA;	mir-1471 microRNA precursor family
mir-1473	RF00993	Gene; miRNA;	microRNA mir-1473
mir-148	RF00248	Gene; miRNA;	mir-148/mir-152 microRNA precursor family
mir-149	RF00829	Gene; miRNA;	microRNA mir-149
mir-1497	RF00953	Gene; miRNA;	microRNA mir-1497
mir-15	RF00455	Gene; miRNA;	mir-15 microRNA precursor family
mir-150	RF00767	Gene; miRNA;	microRNA mir-150
mir-1502	RF03735	Gene; miRNA;	mir-1502 microRNA precursor family
mir-153	RF00650	Gene; miRNA;	microRNA mir-153
mir-1537	RF03638	Gene; miRNA;	mir-1537 microRNA precursor family
mir-1538	RF03847	Gene; miRNA;	mir-1538 microRNA precursor family
mir-154	RF00641	Gene; miRNA;	mir-154 microRNA precursor family
mir-1540	RF03919	Gene; miRNA;	mir-1540 microRNA precursor family
mir-1542	RF03238	Gene; miRNA;	mir-1542 microRNA precursor family
mir-1544	RF03310	Gene; miRNA;	mir-1544 microRNA precursor family
mir-1545	RF04075	Gene; miRNA;	mir-1545 microRNA precursor family
mir-1549	RF03848	Gene; miRNA;	mir-1549 microRNA precursor family
mir-155	RF00731	Gene; miRNA;	microRNA mir-155
mir-156	RF00073	Gene; miRNA;	mir-156 microRNA precursor
mir-1597	RF03932	Gene; miRNA;	mir-1597 microRNA precursor family
mir-15_2	RF03549	Gene; miRNA;	mir-15_2 microRNA precursor family
mir-16	RF00254	Gene; miRNA;	mir-16 microRNA precursor family
mir-160	RF00247	Gene; miRNA;	mir-160 microRNA precursor family
mir-1641	RF03322	Gene; miRNA;	mir-1641 microRNA precursor family
mir-166	RF00075	Gene; miRNA;	mir-166 microRNA precursor
mir-1662	RF02097	Gene; miRNA;	mir-1662 microRNA precursor
mir-1684	RF03880	Gene; miRNA;	mir-1684 microRNA precursor family
mir-17	RF00051	Gene; miRNA;	mir-17 microRNA precursor family
mir-172	RF00452	Gene; miRNA;	mir-172 microRNA precursor family
mir-1729	RF03359	Gene; miRNA;	mir-1729 microRNA precursor family
mir-1743	RF03320	Gene; miRNA;	mir-1743 microRNA precursor family
mir-1744	RF03304	Gene; miRNA;	mir-1744 microRNA precursor family
mir-1756	RF03713	Gene; miRNA;	mir-1756 microRNA precursor family
mir-1759	RF03261	Gene; miRNA;	mir-1759 microRNA precursor family
mir-1784	RF04093	Gene; miRNA;	mir-1784 microRNA precursor family
mir-1788	RF03668	Gene; miRNA;	mir-1788 microRNA precursor family
mir-1789	RF03241	Gene; miRNA;	mir-1789 microRNA precursor family
mir-1791	RF03439	Gene; miRNA;	mir-1791 microRNA precursor family
mir-1803	RF02094	Gene; miRNA;	mir-1803 microRNA precursor
mir-1805	RF03779	Gene; miRNA;	mir-1805 microRNA precursor family
mir-181	RF00076	Gene; miRNA;	mir-181 microRNA precursor
mir-1814	RF03823	Gene; miRNA;	mir-1814 microRNA precursor family
mir-182	RF00702	Gene; miRNA;	mir-182 microRNA precursor family
mir-1822	RF03368	Gene; miRNA;	mir-1822 microRNA precursor family
mir-1824	RF03943	Gene; miRNA;	mir-1824 microRNA precursor family
mir-1825	RF03307	Gene; miRNA;	mir-1825 microRNA precursor family
mir-1827	RF02028	Gene; miRNA;	microRNA mir-1827
mir-1829	RF00955	Gene; miRNA;	microRNA mir-1829
mir-183	RF00663	Gene; miRNA;	microRNA mir-183
mir-184	RF00657	Gene; miRNA;	microRNA mir-184
mir-1842	RF03357	Gene; miRNA;	mir-1842 microRNA precursor family
mir-185	RF00771	Gene; miRNA;	microRNA mir-185
mir-186	RF00697	Gene; miRNA;	microRNA mir-186
mir-187	RF00674	Gene; miRNA;	microRNA mir-187
mir-188	RF01897	Gene; miRNA;	microRNA mir-188
mir-1889	RF03866	Gene; miRNA;	mir-1889 microRNA precursor family
mir-1890	RF03459	Gene; miRNA;	mir-1890 microRNA precursor family
mir-1891	RF03410	Gene; miRNA;	mir-1891 microRNA precursor family
mir-1892	RF03707	Gene; miRNA;	mir-1892 microRNA precursor family
mir-1893	RF03518	Gene; miRNA;	mir-1893 microRNA precursor family
mir-1896	RF03811	Gene; miRNA;	mir-1896 microRNA precursor family
mir-1898	RF03205	Gene; miRNA;	mir-1898 microRNA precursor family
mir-19	RF00245	Gene; miRNA;	mir-19 microRNA precursor family
mir-190	RF00672	Gene; miRNA;	microRNA mir-190
mir-1902	RF03387	Gene; miRNA;	mir-1902 microRNA precursor family
mir-1905	RF04078	Gene; miRNA;	mir-1905 microRNA precursor family
mir-1908	RF03314	Gene; miRNA;	mir-1908 microRNA precursor family
mir-1909	RF03930	Gene; miRNA;	mir-1909 microRNA precursor family
mir-190_2	RF03553	Gene; miRNA;	mir-190_2 microRNA precursor family
mir-191	RF00764	Gene; miRNA;	microRNA mir-191
mir-1910	RF03911	Gene; miRNA;	mir-1910 microRNA precursor family
mir-1911	RF03268	Gene; miRNA;	mir-1911 microRNA precursor family
mir-1912	RF02017	Gene; miRNA;	microRNA mir-1912
mir-1913	RF03191	Gene; miRNA;	mir-1913 microRNA precursor family
mir-1914	RF03502	Gene; miRNA;	mir-1914 microRNA precursor family
mir-1915	RF03412	Gene; miRNA;	mir-1915 microRNA precursor family
mir-192	RF00130	Gene; miRNA;	mir-192/215 microRNA precursor
mir-1923	RF03700	Gene; miRNA;	mir-1923 microRNA precursor family
mir-193	RF01895	Gene; miRNA;	microRNA mir-193
mir-194	RF00257	Gene; miRNA;	mir-194 microRNA precursor family
mir-1949	RF03854	Gene; miRNA;	mir-1949 microRNA precursor family
mir-1954	RF03573	Gene; miRNA;	mir-1954 microRNA precursor family
mir-1956	RF03438	Gene; miRNA;	mir-1956 microRNA precursor family
mir-196	RF00256	Gene; miRNA;	mir-196 microRNA precursor family
mir-197	RF00707	Gene; miRNA;	microRNA mir-197
mir-1972	RF04167	Gene; miRNA;	mir-1972 microRNA precursor family
mir-1976	RF03383	Gene; miRNA;	mir-1976 microRNA precursor family
mir-198	RF00681	Gene; miRNA;	mir-198 microRNA precursor family
mir-1986	RF03753	Gene; miRNA;	mir-1986 microRNA precursor family
mir-199	RF00144	Gene; miRNA;	mir-199 microRNA precursor
mir-1990	RF03684	Gene; miRNA;	mir-1990 microRNA precursor family
mir-1991	RF03858	Gene; miRNA;	mir-1991 microRNA precursor family
mir-1992	RF04081	Gene; miRNA;	mir-1992 microRNA precursor family
mir-1993	RF03886	Gene; miRNA;	mir-1993 microRNA precursor family
mir-1994	RF03386	Gene; miRNA;	mir-1994 microRNA precursor family
mir-2	RF00047	Gene; miRNA;	mir-2 microRNA precursor
mir-2001	RF03374	Gene; miRNA;	mir-2001 microRNA precursor family
mir-2002	RF03821	Gene; miRNA;	mir-2002 microRNA precursor family
mir-2004	RF03562	Gene; miRNA;	mir-2004 microRNA precursor family
mir-2006	RF03979	Gene; miRNA;	mir-2006 microRNA precursor family
mir-2007	RF03806	Gene; miRNA;	mir-2007 microRNA precursor family
mir-2008	RF03355	Gene; miRNA;	mir-2008 microRNA precursor family
mir-2009	RF03590	Gene; miRNA;	mir-2009 microRNA precursor family
mir-2010	RF03787	Gene; miRNA;	mir-2010 microRNA precursor family
mir-2011	RF03687	Gene; miRNA;	mir-2011 microRNA precursor family
mir-2012	RF03980	Gene; miRNA;	mir-2012 microRNA precursor family
mir-2013	RF03853	Gene; miRNA;	mir-2013 microRNA precursor family
mir-202	RF00705	Gene; miRNA;	microRNA mir-202
mir-2024	RF01900	Gene; miRNA;	microRNA mir-2024
mir-203	RF00696	Gene; miRNA;	microRNA mir-203
mir-2032	RF04131	Gene; miRNA;	mir-2032 microRNA precursor family
mir-204	RF00646	Gene; miRNA;	microRNA mir-204
mir-2040	RF03870	Gene; miRNA;	mir-2040 microRNA precursor family
mir-2041	RF03760	Gene; miRNA;	mir-2041 microRNA precursor family
mir-205	RF00656	Gene; miRNA;	microRNA mir-205
mir-2056	RF03643	Gene; miRNA;	mir-2056 microRNA precursor family
mir-2057	RF03732	Gene; miRNA;	mir-2057 microRNA precursor family
mir-2058	RF03579	Gene; miRNA;	mir-2058 microRNA precursor family
mir-2059	RF03765	Gene; miRNA;	mir-2059 microRNA precursor family
mir-2060	RF03662	Gene; miRNA;	mir-2060 microRNA precursor family
mir-2061	RF03931	Gene; miRNA;	mir-2061 microRNA precursor family
mir-2062	RF04043	Gene; miRNA;	mir-2062 microRNA precursor family
mir-2063	RF03745	Gene; miRNA;	mir-2063 microRNA precursor family
mir-2064	RF03644	Gene; miRNA;	mir-2064 microRNA precursor family
